Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
,,,10/21/2020 02:14:43 pm,147.000,12.9
,,,10/21/2020 02:14:43 pm,147.500,12.8
,,,10/21/2020 02:14:44 pm,148.000,12.8
,,,10/21/2020 02:14:44 pm,148.500,12.8
,,,10/21/2020 02:14:45 pm,149.000,12.7
,,,10/21/2020 02:14:45 pm,149.500,12.7
,,,10/21/2020 02:14:46 pm,150.000,12.6
,,,10/21/2020 02:14:46 pm,150.500,12.6
,,,10/21/2020 02:14:47 pm,151.000,12.5
,,,10/21/2020 02:14:47 pm,151.500,12.5
,,,10/21/2020 02:14:48 pm,152.000,12.4
,,,10/21/2020 02:14:48 pm,152.500,12.3
,,,10/21/2020 02:14:49 pm,153.000,12.3
,,,10/21/2020 02:14:49 pm,153.500,12.2
,,,10/21/2020 02:14:50 pm,154.000,12.1
,,,10/21/2020 02:14:50 pm,154.500,12.1
,,,10/21/2020 02:14:51 pm,155.000,12.1
,,,10/21/2020 02:14:51 pm,155.500,12.1
,,,10/21/2020 02:14:52 pm,156.000,12.0
,,,10/21/2020 02:14:52 pm,156.500,12.0
,,,10/21/2020 02:14:53 pm,157.000,11.9
,,,10/21/2020 02:14:53 pm,157.500,11.9
,,,10/21/2020 02:14:54 pm,158.000,11.9
,,,10/21/2020 02:14:54 pm,158.500,11.8
,,,10/21/2020 02:14:55 pm,159.000,11.8
,,,10/21/2020 02:14:55 pm,159.500,11.8
,,,10/21/2020 02:14:56 pm,160.000,11.7
,,,10/21/2020 02:14:56 pm,160.500,11.7
,,,10/21/2020 02:14:57 pm,161.000,11.7
,,,10/21/2020 02:14:57 pm,161.500,11.6
,,,10/21/2020 02:14:58 pm,162.000,11.5
,,,10/21/2020 02:14:58 pm,162.500,11.5
,,,10/21/2020 02:14:59 pm,163.000,11.5
,,,10/21/2020 02:14:59 pm,163.500,11.5
,,,10/21/2020 02:15:00 pm,164.000,11.4
,,,10/21/2020 02:15:00 pm,164.500,11.4
,,,10/21/2020 02:15:01 pm,165.000,11.4
